"CountyState","Sum_Plant_NetGenMW","average_month_ozone_concentration","Season","SeasonBinary","percent_white","percent_black","percent_asian","percent_housing_burden","Median_Income","percent_no_vehicle","Population","LogSum_Plant_NetGenMW"
"Broward, FL",11933011.901,0.06,"Winter","0",47.663798420017,28.3688502334218,3.67235524422345,60.5027515751771,70331,2.67017802534594,1940907,7.07675007375364
"Buncombe, NC",4015162,0.048,"Summer","1",85.1938585780612,5.59994655760459,1.15272277870766,49.1581389002592,66531,1.19217652374151,269449,6.60370307247565
"Caldwell, NC",19,0.051,"Summer","1",87.2540760196244,4.33123544278706,0.545121165568165,35.2869203474856,52362,2.29763387297634,80716,1.27875360095283
"Charleston, SC",485839,0.04,"Summer","1",66.9353894202616,24.7860140542651,1.76044309974624,49.7014807189801,78795,1.55243167728979,409840,5.68649237420925
"Charleston, SC",485839,0.044,"Winter","0",66.9353894202616,24.7860140542651,1.76044309974624,49.7014807189801,78795,1.55243167728979,409840,5.68649237420925
"Chatham, GA",1156133.01,0.04,"Summer","1",49.125110542553,40.1807834851114,2.90887243220619,48.8114511352419,66171,1.95258257158192,296266,6.06300780137346
"Clarke, GA",4012,0.052,"Summer","1",59.0467469580333,26.6583374720636,4.07561460144028,55.4343666283965,48692,0.847457627118644,128864,3.60336092434838
"Cobb, GA",18428551,0.057,"Summer","1",52.8360056567334,27.4805990496374,5.5760348805779,46.7392418557927,94244,0.665588262567357,765813,7.26549118885751
"Collier, FL",24775,0.033,"Summer","1",73.230831542708,6.45756020840511,1.41233650955628,57.4379536111252,82011,1.5953510920596,380221,4.39401366315731
"Collier, FL",24775,0.049,"Winter","0",73.230831542708,6.45756020840511,1.41233650955628,57.4379536111252,82011,1.5953510920596,380221,4.39401366315731
"Cumberland, NC",51454,0.056,"Summer","1",45.1142130086782,37.1949273135704,2.48771654529888,47.6967930029154,55551,1.39966073612371,335207,4.71141914217721
"Darlington, SC",120130,0.042,"Summer","1",54.9131297104324,41.0107100357001,0.479174930583102,43.7742185481788,44317,3.24514427303973,63025,5.07965147707384
"Davidson, TN",122468,0.083,"Summer","1",59.7205354853435,26.3265265868868,3.59347747067426,49.3401600923055,71863,1.27765865004973,709786,5.08802262552577
